Entity,Code,Year,crop(tonnes per hectare)
Majalengka,MJK,1992,3.7201
Majalengka,MJK,1993,3.7727
Majalengka,MJK,1994,2.9246
Majalengka,MJK,1995,2.8299
Majalengka,MJK,1996,2.6874
Majalengka,MJK,1997,2.5775
Majalengka,MJK,1998,3.2374
Majalengka,MJK,1999,3.5315
Majalengka,MJK,2000,3.7076
Majalengka,MJK,2001,4.2985
Majalengka,MJK,2002,4.3439999999999985
Majalengka,MJK,2003,4.5242
Majalengka,MJK,2004,4.7846
Majalengka,MJK,2005,4.5452
Majalengka,MJK,2006,4.8791
Majalengka,MJK,2007,5.0147
Majalengka,MJK,2008,5.4042
Majalengka,MJK,2009,5.7063
Majalengka,MJK,2010,5.8015
Majalengka,MJK,2011,6.1612
Majalengka,MJK,2012,6.2443
Majalengka,MJK,2013,6.582999999999998
Majalengka,MJK,2014,6.5652
Majalengka,MJK,2015,6.6223
Majalengka,MJK,2016,6.7979
Majalengka,MJK,2017,6.9735
Majalengka,MJK,2018,7.1491
Majalengka,MJK,2019,7.3247
Majalengka,MJK,2020,7.5003
