Entity,Code,Year,crop(tonnes per hectare)
Ciamis,CMS,1961,0.5018
Ciamis,CMS,1962,0.4866
Ciamis,CMS,1963,0.6885
Ciamis,CMS,1964,0.7614
Ciamis,CMS,1965,0.7247
Ciamis,CMS,1966,0.7333
Ciamis,CMS,1967,0.55
Ciamis,CMS,1968,0.6
Ciamis,CMS,1969,0.6
Ciamis,CMS,1970,0.6447
Ciamis,CMS,1971,0.7394
Ciamis,CMS,1972,0.7249
Ciamis,CMS,1973,0.6578
Ciamis,CMS,1974,0.5626
Ciamis,CMS,1975,0.5873
Ciamis,CMS,1976,0.8456
Ciamis,CMS,1977,0.8194
Ciamis,CMS,1978,0.9313
Ciamis,CMS,1979,0.9067
Ciamis,CMS,1980,0.9029
Ciamis,CMS,1981,0.8297
Ciamis,CMS,1982,0.8235
Ciamis,CMS,1983,0.5647
Ciamis,CMS,1984,0.6408
Ciamis,CMS,1985,0.991
Ciamis,CMS,1986,0.9388
Ciamis,CMS,1987,0.7408
Ciamis,CMS,1988,0.8194
Ciamis,CMS,1989,1.1623
Ciamis,CMS,1990,1.4612
Ciamis,CMS,1991,1.6868
Ciamis,CMS,1992,1.5238
Ciamis,CMS,1993,1.3722
Ciamis,CMS,1994,1.6042
Ciamis,CMS,1995,1.1441
Ciamis,CMS,1996,1.5521
Ciamis,CMS,1997,1.5185
Ciamis,CMS,1998,1.3919
Ciamis,CMS,1999,1.6241
Ciamis,CMS,2000,1.7543
Ciamis,CMS,2001,1.8115
Ciamis,CMS,2002,1.7381
Ciamis,CMS,2003,1.5284
Ciamis,CMS,2004,1.2666
Ciamis,CMS,2005,1.8058
Ciamis,CMS,2006,1.9444
Ciamis,CMS,2007,1.1736
Ciamis,CMS,2008,1.6662
Ciamis,CMS,2009,1.5286
Ciamis,CMS,2010,1.4342
Ciamis,CMS,2011,1.5356
Ciamis,CMS,2012,1.8386
Ciamis,CMS,2013,1.7353
Ciamis,CMS,2014,1.9109
Ciamis,CMS,2015,1.8864
Ciamis,CMS,2016,1.9168
Ciamis,CMS,2017,1.9474
Ciamis,CMS,2018,1.9781
Ciamis,CMS,2019,2.009
Ciamis,CMS,2020,2.0401
