Entity,Code,Year,crop(tonnes per hectare)
Cirebon,CRB,1961,0.9738
Cirebon,CRB,1962,0.9848
Cirebon,CRB,1963,0.98
Cirebon,CRB,1964,1.1066
Cirebon,CRB,1965,1.1317
Cirebon,CRB,1966,1.1021
Cirebon,CRB,1967,1.1029
Cirebon,CRB,1968,1.16
Cirebon,CRB,1969,1.1675
Cirebon,CRB,1970,1.1959
Cirebon,CRB,1971,1.2596
Cirebon,CRB,1972,1.2353
Cirebon,CRB,1973,1.1749
Cirebon,CRB,1974,1.1852
Cirebon,CRB,1975,1.2863
Cirebon,CRB,1976,1.1848
Cirebon,CRB,1977,1.3248
Cirebon,CRB,1978,1.4888
Cirebon,CRB,1979,1.5081
Cirebon,CRB,1980,1.7428
Cirebon,CRB,1981,1.7574
Cirebon,CRB,1982,1.7276
Cirebon,CRB,1983,1.7479
Cirebon,CRB,1984,1.7943
Cirebon,CRB,1985,1.8085
Cirebon,CRB,1986,1.794
Cirebon,CRB,1987,1.6844
Cirebon,CRB,1988,1.6453
Cirebon,CRB,1989,1.713
Cirebon,CRB,1990,1.9542
Cirebon,CRB,1991,1.9559
Cirebon,CRB,1992,2.2187
Cirebon,CRB,1993,2.2949
Cirebon,CRB,1994,2.1241
Cirebon,CRB,1995,2.1993
Cirebon,CRB,1996,2.1509
Cirebon,CRB,1997,2.2312
Cirebon,CRB,1998,2.1923
Cirebon,CRB,1999,2.3239
Cirebon,CRB,2000,2.314
Cirebon,CRB,2001,2.4211
Cirebon,CRB,2002,2.5154
Cirebon,CRB,2003,2.5666
Cirebon,CRB,2004,2.6151
Cirebon,CRB,2005,2.6438
Cirebon,CRB,2006,2.75
Cirebon,CRB,2007,3.0077
Cirebon,CRB,2008,3.091
Cirebon,CRB,2009,2.9528
Cirebon,CRB,2010,2.9918
Cirebon,CRB,2011,2.6803
Cirebon,CRB,2012,2.935
Cirebon,CRB,2013,2.9511
Cirebon,CRB,2014,3.0371
Cirebon,CRB,2015,3.1815
Cirebon,CRB,2016,3.2378
Cirebon,CRB,2017,3.2946
Cirebon,CRB,2018,3.352
Cirebon,CRB,2019,3.4099
Cirebon,CRB,2020,3.4683
