Entity,Code,Year,crop(tonnes per hectare)
Subang,SBG,1961,1.9789
Subang,SBG,1962,1.5019
Subang,SBG,1963,1.5930000000000002
Subang,SBG,1964,1.6055
Subang,SBG,1965,1.0183
Subang,SBG,1966,1.5276
Subang,SBG,1967,1.2812
Subang,SBG,1968,1.3616
Subang,SBG,1969,1.1507
Subang,SBG,1970,1.5893
Subang,SBG,1971,1.2919
Subang,SBG,1972,1.4164
Subang,SBG,1973,1.1613
Subang,SBG,1974,1.1667
Subang,SBG,1975,1.1818
Subang,SBG,1976,1.3636
Subang,SBG,1977,1.2903
Subang,SBG,1978,1.2308
Subang,SBG,1979,0.9333
Subang,SBG,1980,1.0
Subang,SBG,1981,1.0
Subang,SBG,1982,0.8361
Subang,SBG,1983,0.8776
Subang,SBG,1984,1.1163
Subang,SBG,1985,0.913
Subang,SBG,1986,1.186
Subang,SBG,1987,0.95
Subang,SBG,1988,0.82
Subang,SBG,1989,1.102
Subang,SBG,1990,1.9556
Subang,SBG,1991,1.2
Subang,SBG,1992,1.25
Subang,SBG,1993,1.0583
Subang,SBG,1994,1.2162
Subang,SBG,1995,1.2191
Subang,SBG,1996,1.374
Subang,SBG,1997,1.2427
Subang,SBG,1998,1.2171
Subang,SBG,1999,1.5948
Subang,SBG,2000,2.7345
Subang,SBG,2001,2.7612
Subang,SBG,2002,2.0797
Subang,SBG,2003,3.7472
Subang,SBG,2004,3.3202
Subang,SBG,2005,3.5153
Subang,SBG,2006,3.5798
Subang,SBG,2007,3.6831
Subang,SBG,2008,3.7513
Subang,SBG,2009,4.1757
Subang,SBG,2010,3.6134
Subang,SBG,2011,4.1146
Subang,SBG,2012,4.4138
Subang,SBG,2013,4.3841
Subang,SBG,2014,4.6168
Subang,SBG,2015,5.0459
Subang,SBG,2016,5.2811
Subang,SBG,2017,5.5228
Subang,SBG,2018,5.771
Subang,SBG,2019,6.0257
Subang,SBG,2020,6.2868
