Entity,Code,Year,crop(tonnes per hectare)
Bandung,BD,1961,1.0588
Bandung,BD,1962,1.0
Bandung,BD,1963,1.0
Bandung,BD,1964,0.6258
Bandung,BD,1965,0.7778
Bandung,BD,1966,0.8487
Bandung,BD,1967,1.0
Bandung,BD,1968,2.0
Bandung,BD,1969,1.9231
Bandung,BD,1970,1.7143
Bandung,BD,1971,2.2414
Bandung,BD,1972,2.1429
Bandung,BD,1973,1.8966
Bandung,BD,1974,2.0536
Bandung,BD,1975,1.5152
Bandung,BD,1976,1.6
Bandung,BD,1977,0.95
Bandung,BD,1978,0.75
Bandung,BD,1979,0.8
Bandung,BD,1980,0.8333
Bandung,BD,1981,0.875
Bandung,BD,1982,0.7244
Bandung,BD,1983,0.7776
Bandung,BD,1984,0.8157
Bandung,BD,1985,0.83
Bandung,BD,1986,0.7802
Bandung,BD,1987,0.7066
Bandung,BD,1988,1.0767
Bandung,BD,1989,0.9831
Bandung,BD,1990,0.9768
Bandung,BD,1991,0.9846
Bandung,BD,1992,1.2686
Bandung,BD,1993,0.8383
Bandung,BD,1994,1.2426
Bandung,BD,1995,0.8831
Bandung,BD,1996,0.8911
Bandung,BD,1997,0.9566
Bandung,BD,1998,1.4068
Bandung,BD,1999,0.6991
Bandung,BD,2000,0.753
Bandung,BD,2001,0.5267
Bandung,BD,2002,0.7128
Bandung,BD,2003,0.9075
Bandung,BD,2004,0.8451
Bandung,BD,2005,1.0938
Bandung,BD,2006,1.0666
Bandung,BD,2007,1.0211
Bandung,BD,2008,0.9613
Bandung,BD,2009,0.9831
Bandung,BD,2010,0.8174
Bandung,BD,2011,1.2271
Bandung,BD,2012,1.3679
Bandung,BD,2013,1.2273
Bandung,BD,2014,1.164
Bandung,BD,2015,1.5204
Bandung,BD,2016,1.6345
Bandung,BD,2017,1.7587
Bandung,BD,2018,1.8932
Bandung,BD,2019,2.0384
Bandung,BD,2020,2.1947
