Entity,Code,Year,crop(tonnes per hectare)
Bantul,BTL,1961,0.9541
Bantul,BTL,1962,0.9079
Bantul,BTL,1963,1.1924
Bantul,BTL,1964,1.1634
Bantul,BTL,1965,1.0509
Bantul,BTL,1966,1.5051
Bantul,BTL,1967,1.7241
Bantul,BTL,1968,1.8782
Bantul,BTL,1969,1.9485
Bantul,BTL,1970,2.0718
Bantul,BTL,1971,1.9443
Bantul,BTL,1972,1.9667
Bantul,BTL,1973,2.0
Bantul,BTL,1974,2.1981
Bantul,BTL,1975,2.7
Bantul,BTL,1976,3.1111
Bantul,BTL,1977,3.7647
Bantul,BTL,1978,3.9535
Bantul,BTL,1979,3.75
Bantul,BTL,1980,2.6504
Bantul,BTL,1981,3.1585
Bantul,BTL,1982,3.7252
Bantul,BTL,1983,4.2263
Bantul,BTL,1984,3.7209
Bantul,BTL,1985,3.5128
Bantul,BTL,1986,4.5065
Bantul,BTL,1987,3.8148
Bantul,BTL,1988,3.2871
Bantul,BTL,1989,4.7969
Bantul,BTL,1990,3.6613
Bantul,BTL,1991,2.9068
Bantul,BTL,1992,2.4876
Bantul,BTL,1993,2.4185
Bantul,BTL,1994,2.5848
Bantul,BTL,1995,3.13
Bantul,BTL,1996,3.2604
Bantul,BTL,1997,3.1862
Bantul,BTL,1998,3.3416
Bantul,BTL,1999,3.7455
Bantul,BTL,2000,3.8811
Bantul,BTL,2001,3.8135
Bantul,BTL,2002,3.946
Bantul,BTL,2003,4.2805
Bantul,BTL,2004,4.6197
Bantul,BTL,2005,4.5442
Bantul,BTL,2006,5.0111
Bantul,BTL,2007,4.6732
Bantul,BTL,2008,5.0
Bantul,BTL,2009,5.5693
Bantul,BTL,2010,6.6789999999999985
Bantul,BTL,2011,5.9869
Bantul,BTL,2012,6.729
Bantul,BTL,2013,6.9533
Bantul,BTL,2014,6.9091
Bantul,BTL,2015,7.6718
Bantul,BTL,2016,8.1344
Bantul,BTL,2017,8.629
Bantul,BTL,2018,9.1566
Bantul,BTL,2019,9.7184
Bantul,BTL,2020,10.3154
