Entity,Code,Year,crop(tonnes per hectare)
Bogor,BGR,1961,1.3123
Bogor,BGR,1962,1.3048
Bogor,BGR,1963,1.3092
Bogor,BGR,1964,1.1606
Bogor,BGR,1965,1.3809
Bogor,BGR,1966,1.3066
Bogor,BGR,1967,1.3828
Bogor,BGR,1968,1.3369
Bogor,BGR,1969,1.3149
Bogor,BGR,1970,1.4421
Bogor,BGR,1971,1.3393
Bogor,BGR,1972,1.413
Bogor,BGR,1973,1.4295
Bogor,BGR,1974,1.5248
Bogor,BGR,1975,1.5048
Bogor,BGR,1976,1.5967
Bogor,BGR,1977,1.6322
Bogor,BGR,1978,1.2197
Bogor,BGR,1979,1.4406
Bogor,BGR,1980,1.779
Bogor,BGR,1981,1.833
Bogor,BGR,1982,1.7308
Bogor,BGR,1983,1.7496
Bogor,BGR,1984,1.761
Bogor,BGR,1985,1.8662
Bogor,BGR,1986,1.6486
Bogor,BGR,1987,1.9843
Bogor,BGR,1988,1.8775
Bogor,BGR,1989,2.0582
Bogor,BGR,1990,1.8735
Bogor,BGR,1991,1.8084
Bogor,BGR,1992,2.2828
Bogor,BGR,1993,2.5321
Bogor,BGR,1994,2.3629
Bogor,BGR,1995,2.6005
Bogor,BGR,1996,2.697
Bogor,BGR,1997,2.6228
Bogor,BGR,1998,2.7964
Bogor,BGR,1999,2.7591
Bogor,BGR,2000,2.7447
Bogor,BGR,2001,3.4026
Bogor,BGR,2002,3.0579
Bogor,BGR,2003,3.7273
Bogor,BGR,2004,3.3671
Bogor,BGR,2005,3.0403
Bogor,BGR,2006,3.3823
Bogor,BGR,2007,3.7852
Bogor,BGR,2008,4.08
Bogor,BGR,2009,3.7145
Bogor,BGR,2010,4.3667
Bogor,BGR,2011,4.2107
Bogor,BGR,2012,5.0057
Bogor,BGR,2013,5.2536
Bogor,BGR,2014,5.1761
Bogor,BGR,2015,5.3339
Bogor,BGR,2016,5.5577
Bogor,BGR,2017,5.7902
Bogor,BGR,2018,6.0318
Bogor,BGR,2019,6.2825
Bogor,BGR,2020,6.5426
