Entity,Code,Year,crop(tonnes per hectare)
DIY,DIY,1966,2.5
DIY,DIY,1967,2.25
DIY,DIY,1968,2.5
DIY,DIY,1969,2.25
DIY,DIY,1970,2.4
DIY,DIY,1971,2.2857
DIY,DIY,1972,2.3
DIY,DIY,1973,2.0
DIY,DIY,1974,2.0556
DIY,DIY,1975,1.875
DIY,DIY,1976,1.8214
DIY,DIY,1977,1.6667
DIY,DIY,1978,1.75
DIY,DIY,1979,1.92
DIY,DIY,1980,1.7059
DIY,DIY,1981,1.8
DIY,DIY,1982,1.7879
DIY,DIY,1983,1.7895
DIY,DIY,1984,1.7059
DIY,DIY,1985,1.9
DIY,DIY,1986,1.9048
DIY,DIY,1987,1.92
DIY,DIY,1988,2.0357
DIY,DIY,1989,2.1429
DIY,DIY,1990,2.381
DIY,DIY,1991,1.8333
DIY,DIY,1992,1.7184
DIY,DIY,1993,1.6955
DIY,DIY,1994,1.6742
DIY,DIY,1995,1.6071
DIY,DIY,1996,1.644
DIY,DIY,1997,1.6377
DIY,DIY,1998,1.6336
DIY,DIY,1999,1.6316
DIY,DIY,2000,1.6
DIY,DIY,2001,1.6126
DIY,DIY,2002,1.5625
DIY,DIY,2003,1.5714
DIY,DIY,2004,1.5789
DIY,DIY,2005,1.5957
DIY,DIY,2006,1.625
DIY,DIY,2007,1.5998
DIY,DIY,2008,1.619
DIY,DIY,2009,1.5903
DIY,DIY,2010,1.5871
DIY,DIY,2011,1.5966
DIY,DIY,2012,1.5954
DIY,DIY,2013,1.5942
DIY,DIY,2014,1.5931
DIY,DIY,2015,1.491
DIY,DIY,2016,1.4666
DIY,DIY,2017,1.4402
DIY,DIY,2018,1.4116
DIY,DIY,2019,1.3808
DIY,DIY,2020,1.3475
