Entity,Code,Year,crop(tonnes per hectare)
Gunung Kidul,GKD,1961,0.9746
Gunung Kidul,GKD,1962,0.54
Gunung Kidul,GKD,1963,1.0716
Gunung Kidul,GKD,1964,1.1703
Gunung Kidul,GKD,1965,1.1
Gunung Kidul,GKD,1966,0.8190000000000001
Gunung Kidul,GKD,1967,1.0948
Gunung Kidul,GKD,1968,1.1443
Gunung Kidul,GKD,1969,0.9985
Gunung Kidul,GKD,1970,1.0235
Gunung Kidul,GKD,1971,0.8135
Gunung Kidul,GKD,1972,0.8528
Gunung Kidul,GKD,1973,1.1795
Gunung Kidul,GKD,1974,1.3506
Gunung Kidul,GKD,1975,1.8059
Gunung Kidul,GKD,1976,1.2787
Gunung Kidul,GKD,1977,1.2226
Gunung Kidul,GKD,1978,1.0813
Gunung Kidul,GKD,1979,1.1169
Gunung Kidul,GKD,1980,0.966
Gunung Kidul,GKD,1981,1.0031
Gunung Kidul,GKD,1982,0.7836
Gunung Kidul,GKD,1983,0.9333
Gunung Kidul,GKD,1984,1.867
Gunung Kidul,GKD,1985,0.6376
Gunung Kidul,GKD,1986,0.8433
Gunung Kidul,GKD,1987,1.4106
Gunung Kidul,GKD,1988,1.0
Gunung Kidul,GKD,1989,2.4
Gunung Kidul,GKD,1990,1.65
Gunung Kidul,GKD,1991,1.9231
Gunung Kidul,GKD,1992,2.2828
Gunung Kidul,GKD,1993,1.25
Gunung Kidul,GKD,1994,0.4512
Gunung Kidul,GKD,1995,1.6115
Gunung Kidul,GKD,1996,1.7154
Gunung Kidul,GKD,1997,2.1417
Gunung Kidul,GKD,1998,1.7222
Gunung Kidul,GKD,1999,2.2375
Gunung Kidul,GKD,2000,3.6186
Gunung Kidul,GKD,2001,2.7175
Gunung Kidul,GKD,2002,3.3480000000000003
Gunung Kidul,GKD,2003,2.8853
Gunung Kidul,GKD,2004,3.1729
Gunung Kidul,GKD,2005,3.3864
Gunung Kidul,GKD,2006,6.5668
Gunung Kidul,GKD,2007,8.5625
Gunung Kidul,GKD,2008,4.4714
Gunung Kidul,GKD,2009,3.4226
Gunung Kidul,GKD,2010,2.5827
Gunung Kidul,GKD,2011,2.3374
Gunung Kidul,GKD,2012,2.5583
Gunung Kidul,GKD,2013,3.3649
Gunung Kidul,GKD,2014,2.6165
Gunung Kidul,GKD,2015,3.8008
Gunung Kidul,GKD,2016,3.814
Gunung Kidul,GKD,2017,3.8185
Gunung Kidul,GKD,2018,3.8139
Gunung Kidul,GKD,2019,3.7998
Gunung Kidul,GKD,2020,3.7758
