Entity,Code,Year,crop(tonnes per hectare)
Indramayu,IDY,1961,0.9596
Indramayu,IDY,1962,1.0322
Indramayu,IDY,1963,0.9081
Indramayu,IDY,1964,1.0158
Indramayu,IDY,1965,1.0084
Indramayu,IDY,1966,0.9986
Indramayu,IDY,1967,1.0368
Indramayu,IDY,1968,1.0714
Indramayu,IDY,1969,1.1161
Indramayu,IDY,1970,1.1607
Indramayu,IDY,1971,1.1863
Indramayu,IDY,1972,1.0676
Indramayu,IDY,1973,1.1507
Indramayu,IDY,1974,0.9875
Indramayu,IDY,1975,1.1428
Indramayu,IDY,1976,1.1328
Indramayu,IDY,1977,1.1475
Indramayu,IDY,1978,1.3333
Indramayu,IDY,1979,1.1283
Indramayu,IDY,1980,1.0769
Indramayu,IDY,1981,1.1231
Indramayu,IDY,1982,1.1077
Indramayu,IDY,1983,1.1385
Indramayu,IDY,1984,1.0859
Indramayu,IDY,1985,1.2077
Indramayu,IDY,1986,1.2424
Indramayu,IDY,1987,1.2654
Indramayu,IDY,1988,1.2836
Indramayu,IDY,1989,1.3645
Indramayu,IDY,1990,1.354
Indramayu,IDY,1991,1.3887
Indramayu,IDY,1992,1.4218
Indramayu,IDY,1993,1.4342
Indramayu,IDY,1994,1.2276
Indramayu,IDY,1995,1.2752
Indramayu,IDY,1996,1.3133
Indramayu,IDY,1997,1.2608
Indramayu,IDY,1998,1.1463
Indramayu,IDY,1999,1.1192
Indramayu,IDY,2000,1.0521
Indramayu,IDY,2001,1.0817
Indramayu,IDY,2002,1.0931
Indramayu,IDY,2003,1.067
Indramayu,IDY,2004,1.0807
Indramayu,IDY,2005,1.0833
Indramayu,IDY,2006,1.0159
Indramayu,IDY,2007,1.0168
Indramayu,IDY,2008,1.0041
Indramayu,IDY,2009,1.0032
Indramayu,IDY,2010,1.0584
Indramayu,IDY,2011,1.1093
Indramayu,IDY,2012,1.1763
Indramayu,IDY,2013,1.3218
Indramayu,IDY,2014,1.3145
Indramayu,IDY,2015,1.113
Indramayu,IDY,2016,1.1119
Indramayu,IDY,2017,1.1114
Indramayu,IDY,2018,1.1116
Indramayu,IDY,2019,1.1124
Indramayu,IDY,2020,1.1139
