Entity,Code,Year,crop(tonnes per hectare)
Karawang,KRW,1961,1.2501
Karawang,KRW,1962,1.2399
Karawang,KRW,1963,1.2408
Karawang,KRW,1964,0.9091
Karawang,KRW,1965,1.2949
Karawang,KRW,1966,1.3219
Karawang,KRW,1967,1.3224
Karawang,KRW,1968,1.3224
Karawang,KRW,1969,1.3232
Karawang,KRW,1970,1.2922
Karawang,KRW,1971,1.3037
Karawang,KRW,1972,1.2517
Karawang,KRW,1973,1.2818
Karawang,KRW,1974,1.2605
Karawang,KRW,1975,1.3246
Karawang,KRW,1976,1.5269
Karawang,KRW,1977,1.2616
Karawang,KRW,1978,1.3014
Karawang,KRW,1979,1.3602
Karawang,KRW,1980,1.3063
Karawang,KRW,1981,1.6087
Karawang,KRW,1982,1.5733
Karawang,KRW,1983,1.2927
Karawang,KRW,1984,1.5436
Karawang,KRW,1985,1.5875
Karawang,KRW,1986,1.5554
Karawang,KRW,1987,1.5912
Karawang,KRW,1988,1.5189
Karawang,KRW,1989,1.4353
Karawang,KRW,1990,1.6658
Karawang,KRW,1991,1.5285
Karawang,KRW,1992,1.7534
Karawang,KRW,1993,1.8658
Karawang,KRW,1994,1.8107
Karawang,KRW,1995,1.8526
Karawang,KRW,1996,1.8011
Karawang,KRW,1997,1.506
Karawang,KRW,1998,1.8192
Karawang,KRW,1999,1.7621
Karawang,KRW,2000,2.1259
Karawang,KRW,2001,2.2143
Karawang,KRW,2002,2.167
Karawang,KRW,2003,2.3405
Karawang,KRW,2004,1.7145
Karawang,KRW,2005,2.1859
Karawang,KRW,2006,2.6071
Karawang,KRW,2007,2.1155
Karawang,KRW,2008,2.312
Karawang,KRW,2009,2.8185
Karawang,KRW,2010,2.789
Karawang,KRW,2011,2.4766
Karawang,KRW,2012,2.8517
Karawang,KRW,2013,2.1442
Karawang,KRW,2014,2.1182
Karawang,KRW,2015,2.6255
Karawang,KRW,2016,2.6688
Karawang,KRW,2017,2.7122
Karawang,KRW,2018,2.7557
Karawang,KRW,2019,2.7992
Karawang,KRW,2020,2.8427
