Entity,Code,Year,crop(tonnes per hectare)
Cianjur,CJR,1961,14.5798
Cianjur,CJR,1962,13.875
Cianjur,CJR,1963,13.8704
Cianjur,CJR,1964,13.8308
Cianjur,CJR,1965,14.3138
Cianjur,CJR,1966,13.8777
Cianjur,CJR,1967,15.6
Cianjur,CJR,1968,14.2755
Cianjur,CJR,1969,13.4057
Cianjur,CJR,1970,14.6341
Cianjur,CJR,1971,14.9169
Cianjur,CJR,1972,13.8313
Cianjur,CJR,1973,17.5875
Cianjur,CJR,1974,16.6914
Cianjur,CJR,1975,15.7306
Cianjur,CJR,1976,16.8237
Cianjur,CJR,1977,15.3101
Cianjur,CJR,1978,17.9166
Cianjur,CJR,1979,19.695
Cianjur,CJR,1980,17.3089
Cianjur,CJR,1981,17.4214
Cianjur,CJR,1982,18.271
Cianjur,CJR,1983,18.3081
Cianjur,CJR,1984,19.25
Cianjur,CJR,1985,18.1579
Cianjur,CJR,1986,19.7403
Cianjur,CJR,1987,19.4226
Cianjur,CJR,1988,18.25
Cianjur,CJR,1989,19.0225
Cianjur,CJR,1990,21.0
Cianjur,CJR,1991,19.7514
Cianjur,CJR,1992,19.1654
Cianjur,CJR,1993,19.8757
Cianjur,CJR,1994,19.3175
Cianjur,CJR,1995,19.0476
Cianjur,CJR,1996,18.5383
Cianjur,CJR,1997,19.6861
Cianjur,CJR,1998,20.0249
Cianjur,CJR,1999,20.4886
Cianjur,CJR,2000,21.5556
Cianjur,CJR,2001,22.4615
Cianjur,CJR,2002,21.7433
Cianjur,CJR,2003,22.0773
Cianjur,CJR,2004,22.0906
Cianjur,CJR,2005,23.8573
Cianjur,CJR,2006,26.1877
Cianjur,CJR,2007,27.4062
Cianjur,CJR,2008,35.7407
Cianjur,CJR,2009,38.3636
Cianjur,CJR,2010,41.1754
Cianjur,CJR,2011,33.0341
Cianjur,CJR,2012,35.2361
Cianjur,CJR,2013,35.4942
Cianjur,CJR,2014,35.1378
Cianjur,CJR,2015,30.8451
Cianjur,CJR,2016,31.2163
Cianjur,CJR,2017,31.5876
Cianjur,CJR,2018,31.9588
Cianjur,CJR,2019,32.33
Cianjur,CJR,2020,32.7012
