Entity,Code,Year,crop(tonnes per hectare)
Cirebon,CRB,1961,12.0354
Cirebon,CRB,1962,12.3984
Cirebon,CRB,1963,11.9106
Cirebon,CRB,1964,12.1774
Cirebon,CRB,1965,10.8015
Cirebon,CRB,1966,11.4433
Cirebon,CRB,1967,10.8418
Cirebon,CRB,1968,10.4194
Cirebon,CRB,1969,10.4055
Cirebon,CRB,1970,9.4753
Cirebon,CRB,1971,10.5701
Cirebon,CRB,1972,10.8308
Cirebon,CRB,1973,11.5344
Cirebon,CRB,1974,11.4238
Cirebon,CRB,1975,9.5597
Cirebon,CRB,1976,11.2067
Cirebon,CRB,1977,12.9679
Cirebon,CRB,1978,11.2993
Cirebon,CRB,1979,12.0873
Cirebon,CRB,1980,11.5771
Cirebon,CRB,1981,11.8003
Cirebon,CRB,1982,12.4194
Cirebon,CRB,1983,11.2795
Cirebon,CRB,1984,12.4408
Cirebon,CRB,1985,12.1791
Cirebon,CRB,1986,12.332
Cirebon,CRB,1987,12.0
Cirebon,CRB,1988,10.1797
Cirebon,CRB,1989,10.79
Cirebon,CRB,1990,9.8375
Cirebon,CRB,1991,11.7149
Cirebon,CRB,2015,11.4915
Cirebon,CRB,2016,11.495
Cirebon,CRB,2017,11.4986
Cirebon,CRB,2018,11.5021
Cirebon,CRB,2019,11.5057
Cirebon,CRB,2020,11.5092
