Entity,Code,Year,crop(tonnes per hectare)
DIY,DIY,1961,15.8149
DIY,DIY,1962,16.4763
DIY,DIY,1963,13.8808
DIY,DIY,1964,17.3298
DIY,DIY,1965,16.8432
DIY,DIY,1966,16.8432
DIY,DIY,1967,16.4101
DIY,DIY,1968,15.835
DIY,DIY,1969,17.4135
DIY,DIY,1970,17.9698
DIY,DIY,1971,17.3275
DIY,DIY,1972,18.6513
DIY,DIY,1973,16.5823
DIY,DIY,1974,18.8654
DIY,DIY,1975,18.3051
DIY,DIY,1976,18.2413
DIY,DIY,1977,18.2363
DIY,DIY,1978,19.0066
DIY,DIY,1979,19.5005
DIY,DIY,1980,18.8927
DIY,DIY,1981,19.6825
DIY,DIY,1982,20.932
DIY,DIY,1983,19.7096
DIY,DIY,1984,20.9101
DIY,DIY,1985,20.4714
DIY,DIY,1986,21.7176
DIY,DIY,1987,24.1111
DIY,DIY,1988,24.9332
DIY,DIY,1989,24.8179
DIY,DIY,1990,25.1429
DIY,DIY,1991,23.4754
DIY,DIY,1992,23.3766
DIY,DIY,1993,18.4211
DIY,DIY,1994,27.2414
DIY,DIY,1995,36.8
DIY,DIY,1996,27.5833
DIY,DIY,1997,33.8996
DIY,DIY,1998,30.1823
DIY,DIY,1999,34.2857
DIY,DIY,2000,37.4807
DIY,DIY,2001,37.0522
DIY,DIY,2002,39.2796
DIY,DIY,2003,38.2857
DIY,DIY,2004,38.9431
DIY,DIY,2005,39.0258
DIY,DIY,2006,39.4118
DIY,DIY,2007,37.7778
DIY,DIY,2008,39.1535
DIY,DIY,2009,40.956
DIY,DIY,2010,40.3618
DIY,DIY,2011,40.7248
DIY,DIY,2012,41.0879
DIY,DIY,2013,41.4509
DIY,DIY,2014,41.8139
DIY,DIY,2015,41.9297
DIY,DIY,2016,42.4989
DIY,DIY,2017,43.0682
DIY,DIY,2018,43.6374
DIY,DIY,2019,44.2066
DIY,DIY,2020,44.7758
