Entity,Code,Year,crop(tonnes per hectare)
Purwakarta,PWK,1961,13.3322
Purwakarta,PWK,1962,14.0589
Purwakarta,PWK,1963,13.7055
Purwakarta,PWK,1964,14.3677
Purwakarta,PWK,1965,14.6247
Purwakarta,PWK,1966,17.5185
Purwakarta,PWK,1967,18.0238
Purwakarta,PWK,1968,17.5335
Purwakarta,PWK,1969,17.2517
Purwakarta,PWK,1970,16.988
Purwakarta,PWK,1971,16.6512
Purwakarta,PWK,1972,19.1178
Purwakarta,PWK,1973,19.0373
Purwakarta,PWK,1974,21.5929
Purwakarta,PWK,1975,22.3655
Purwakarta,PWK,1976,24.706
Purwakarta,PWK,1977,24.9679
Purwakarta,PWK,1978,26.1987
Purwakarta,PWK,1979,26.136
Purwakarta,PWK,1980,30.6435
Purwakarta,PWK,1981,29.9162
Purwakarta,PWK,1982,31.4225
Purwakarta,PWK,1983,32.1551
Purwakarta,PWK,1984,34.8608
Purwakarta,PWK,1985,35.8693
Purwakarta,PWK,1986,35.8451
Purwakarta,PWK,1987,35.6096
Purwakarta,PWK,1988,38.4284
Purwakarta,PWK,1989,33.8348
Purwakarta,PWK,1990,37.1432
Purwakarta,PWK,1991,38.5103
Purwakarta,PWK,1992,41.0141
Purwakarta,PWK,1993,43.706
Purwakarta,PWK,1994,43.4067
Purwakarta,PWK,1995,43.7525
Purwakarta,PWK,1996,37.3319
Purwakarta,PWK,1997,41.7814
Purwakarta,PWK,1998,43.5691
Purwakarta,PWK,1999,50.3558
Purwakarta,PWK,2000,53.2631
Purwakarta,PWK,2001,53.9815
Purwakarta,PWK,2002,58.428
Purwakarta,PWK,2003,58.4225
Purwakarta,PWK,2004,58.4447
Purwakarta,PWK,2005,57.0494
Purwakarta,PWK,2006,57.0977
Purwakarta,PWK,2007,58.7499
Purwakarta,PWK,2008,63.4958
Purwakarta,PWK,2009,63.7597
Purwakarta,PWK,2010,60.4909
Purwakarta,PWK,2011,61.7947
Purwakarta,PWK,2012,60.6647
Purwakarta,PWK,2013,66.8025
Purwakarta,PWK,2014,66.8517
Purwakarta,PWK,2015,66.6181
Purwakarta,PWK,2016,67.6826
Purwakarta,PWK,2017,68.7471
Purwakarta,PWK,2018,69.8116
Purwakarta,PWK,2019,70.876
Purwakarta,PWK,2020,71.9405
