Entity,Code,Year,crop(tonnes per hectare)
Sleman,SLM,1961,2.5
Sleman,SLM,1962,2.5
Sleman,SLM,1963,3.3333
Sleman,SLM,1964,3.0
Sleman,SLM,1965,3.3333
Sleman,SLM,1966,3.75
Sleman,SLM,1967,3.5714
Sleman,SLM,1968,3.5
Sleman,SLM,1969,3.3333
Sleman,SLM,1970,3.4375
Sleman,SLM,1971,3.6111
Sleman,SLM,1972,3.8421
Sleman,SLM,1973,3.28
Sleman,SLM,1974,2.6316
Sleman,SLM,1975,3.4286
Sleman,SLM,1976,3.25
Sleman,SLM,1977,2.6
Sleman,SLM,1978,4.0
Sleman,SLM,1979,3.8857
Sleman,SLM,1980,3.0
Sleman,SLM,1981,8.95
Sleman,SLM,1982,7.4348
Sleman,SLM,1983,8.9063
Sleman,SLM,1984,6.75
Sleman,SLM,1985,8.3333
Sleman,SLM,1986,8.3333
Sleman,SLM,1987,8.75
Sleman,SLM,1988,8.4
Sleman,SLM,1989,8.1818
Sleman,SLM,1990,8.2609
Sleman,SLM,1991,8.3333
Sleman,SLM,1992,8.4615
Sleman,SLM,1993,8.406
Sleman,SLM,1994,8.4185
Sleman,SLM,1995,8.3333
Sleman,SLM,1996,8.4615
Sleman,SLM,1997,8.5185
Sleman,SLM,1998,8.5714
Sleman,SLM,1999,8.9655
Sleman,SLM,2000,9.0
Sleman,SLM,2001,9.0625
Sleman,SLM,2002,8.8571
Sleman,SLM,2003,8.6842
Sleman,SLM,2004,8.75
Sleman,SLM,2005,8.915
Sleman,SLM,2006,8.9468
Sleman,SLM,2007,8.7778
Sleman,SLM,2008,9.0794
Sleman,SLM,2009,9.2104
Sleman,SLM,2010,9.3409
Sleman,SLM,2011,9.4749
Sleman,SLM,2012,10.0
Sleman,SLM,2013,9.7186
Sleman,SLM,2014,9.6125
Sleman,SLM,2015,10.914
Sleman,SLM,2016,11.0671
Sleman,SLM,2017,11.2202
Sleman,SLM,2018,11.3733
Sleman,SLM,2019,11.5264
Sleman,SLM,2020,11.6796
