Entity,Code,Year,crop(tonnes per hectare)
Bandung,BD,1961,14.5798
Bandung,BD,1962,13.875
Bandung,BD,1963,13.8704
Bandung,BD,1964,13.8308
Bandung,BD,1965,14.3138
Bandung,BD,1966,13.8777
Bandung,BD,1967,15.6
Bandung,BD,1968,14.2755
Bandung,BD,1969,13.4057
Bandung,BD,1970,14.6341
Bandung,BD,1971,14.9169
Bandung,BD,1972,13.8313
Bandung,BD,1973,17.5875
Bandung,BD,1974,16.6914
Bandung,BD,1975,15.7306
Bandung,BD,1976,16.8237
Bandung,BD,1977,15.3101
Bandung,BD,1978,17.9166
Bandung,BD,1979,19.695
Bandung,BD,1980,17.3089
Bandung,BD,1981,17.4214
Bandung,BD,1982,18.271
Bandung,BD,1983,18.3081
Bandung,BD,1984,19.25
Bandung,BD,1985,18.1579
Bandung,BD,1986,19.7403
Bandung,BD,1987,19.4226
Bandung,BD,1988,18.25
Bandung,BD,1989,19.0225
Bandung,BD,1990,21.0
Bandung,BD,1991,19.7514
Bandung,BD,1992,25.8824
Bandung,BD,1993,33.1667
Bandung,BD,1994,32.5
Bandung,BD,1995,30.7576
Bandung,BD,1996,30.0852
Bandung,BD,1997,25.68
Bandung,BD,1998,29.0
Bandung,BD,1999,26.1847
Bandung,BD,2000,25.7099
Bandung,BD,2001,29.579
Bandung,BD,2002,30.2613
Bandung,BD,2003,31.1737
Bandung,BD,2004,36.0022
Bandung,BD,2005,37.3467
Bandung,BD,2006,44.3144
Bandung,BD,2007,43.6072
Bandung,BD,2008,46.9529
Bandung,BD,2009,44.709
Bandung,BD,2010,38.6552
Bandung,BD,2011,40.2911
Bandung,BD,2012,42.3601
Bandung,BD,2013,43.9657
Bandung,BD,2014,45.8822
Bandung,BD,2015,48.6052
Bandung,BD,2016,49.9772
Bandung,BD,2017,51.3761
Bandung,BD,2018,52.8018
Bandung,BD,2019,54.2543
Bandung,BD,2020,55.7336
