Entity,Code,Year,crop(tonnes per hectare)
Ciamis,CMS,1961,14.5798
Ciamis,CMS,1962,13.875
Ciamis,CMS,1963,13.8704
Ciamis,CMS,1964,13.8308
Ciamis,CMS,1965,14.3138
Ciamis,CMS,1966,13.8777
Ciamis,CMS,1967,15.6
Ciamis,CMS,1968,14.2755
Ciamis,CMS,1969,13.4057
Ciamis,CMS,1970,14.6341
Ciamis,CMS,1971,14.9169
Ciamis,CMS,1972,13.8313
Ciamis,CMS,1973,17.5875
Ciamis,CMS,1974,16.6914
Ciamis,CMS,1975,15.7306
Ciamis,CMS,1976,16.8237
Ciamis,CMS,1977,15.3101
Ciamis,CMS,1978,17.9166
Ciamis,CMS,1979,19.695
Ciamis,CMS,1980,17.3089
Ciamis,CMS,1981,17.4214
Ciamis,CMS,1982,18.271
Ciamis,CMS,1983,18.3081
Ciamis,CMS,1984,19.25
Ciamis,CMS,1985,18.1579
Ciamis,CMS,1986,19.7403
Ciamis,CMS,1987,19.4226
Ciamis,CMS,1988,18.25
Ciamis,CMS,1989,19.0225
Ciamis,CMS,1990,21.0
Ciamis,CMS,1991,19.7514
Ciamis,CMS,1992,11.2376
Ciamis,CMS,1993,11.7143
Ciamis,CMS,1994,12.5789
Ciamis,CMS,1995,10.7999
Ciamis,CMS,1996,9.1982
Ciamis,CMS,1997,4.2205
Ciamis,CMS,1998,11.3268
Ciamis,CMS,1999,11.8246
Ciamis,CMS,2000,9.6692
Ciamis,CMS,2001,10.1478
Ciamis,CMS,2002,11.5712
Ciamis,CMS,2003,12.7028
Ciamis,CMS,2004,11.9718
Ciamis,CMS,2005,15.6908
Ciamis,CMS,2006,18.9707
Ciamis,CMS,2007,16.4567
Ciamis,CMS,2008,18.4666
Ciamis,CMS,2009,24.3532
Ciamis,CMS,2010,21.8266
Ciamis,CMS,2011,24.5821
Ciamis,CMS,2012,26.5356
Ciamis,CMS,2013,24.1712
Ciamis,CMS,2014,27.0855
Ciamis,CMS,2015,21.1375
Ciamis,CMS,2016,21.5262
Ciamis,CMS,2017,21.9261
Ciamis,CMS,2018,22.3371
Ciamis,CMS,2019,22.7594
Ciamis,CMS,2020,23.1928
