Entity,Code,Year,crop(tonnes per hectare)
Garut,GRT,1961,8.1756
Garut,GRT,1962,8.2707
Garut,GRT,1963,8.425
Garut,GRT,1964,8.2226
Garut,GRT,1965,7.9025
Garut,GRT,1966,7.9413
Garut,GRT,1967,7.6942
Garut,GRT,1968,7.657999999999999
Garut,GRT,1969,7.826
Garut,GRT,1970,7.4485
Garut,GRT,1971,7.3966
Garut,GRT,1972,6.7992
Garut,GRT,1973,6.7142
Garut,GRT,1974,6.8831
Garut,GRT,1975,7.2822
Garut,GRT,1976,7.1378
Garut,GRT,1977,8.174
Garut,GRT,1978,7.1675
Garut,GRT,1979,7.2405
Garut,GRT,1980,7.4731
Garut,GRT,1981,7.8023
Garut,GRT,1982,8.1038
Garut,GRT,1983,8.004
Garut,GRT,1984,8.088
Garut,GRT,1985,8.4893
Garut,GRT,1986,8.547
Garut,GRT,1987,8.0891
Garut,GRT,1988,8.6154
Garut,GRT,1989,8.7309
Garut,GRT,1990,9.2668
Garut,GRT,1991,9.0974
Garut,GRT,1992,9.1204
Garut,GRT,1993,8.7549
Garut,GRT,1994,8.3718
Garut,GRT,1995,9.1266
Garut,GRT,1996,9.289
Garut,GRT,1997,8.2017
Garut,GRT,1998,7.6242
Garut,GRT,1999,8.1719
Garut,GRT,2000,6.4046
Garut,GRT,2001,6.1881
Garut,GRT,2002,6.1699
Garut,GRT,2003,6.5712
Garut,GRT,2004,7.6054
Garut,GRT,2005,8.1782
Garut,GRT,2006,8.4377
Garut,GRT,2007,7.6707
Garut,GRT,2008,6.9823
Garut,GRT,2009,7.077000000000001
Garut,GRT,2010,7.1011
Garut,GRT,2011,6.2489
Garut,GRT,2012,5.3635
Garut,GRT,2013,4.8221
Garut,GRT,2014,5.2876
Garut,GRT,2015,5.9476
Garut,GRT,2016,5.8035
Garut,GRT,2017,5.6549
Garut,GRT,2018,5.502
Garut,GRT,2019,5.3447
Garut,GRT,2020,5.1829
