Entity,Code,Year,crop(tonnes per hectare)
Gunung Kidul,GKD,1961,2.5
Gunung Kidul,GKD,1962,2.5
Gunung Kidul,GKD,1963,2.5
Gunung Kidul,GKD,1964,2.5
Gunung Kidul,GKD,1965,2.5
Gunung Kidul,GKD,1966,2.5
Gunung Kidul,GKD,1967,2.5
Gunung Kidul,GKD,1968,3.0
Gunung Kidul,GKD,1969,3.0
Gunung Kidul,GKD,1970,3.0769
Gunung Kidul,GKD,1971,3.0769
Gunung Kidul,GKD,1972,3.0769
Gunung Kidul,GKD,1973,3.125
Gunung Kidul,GKD,1974,3.125
Gunung Kidul,GKD,1975,3.125
Gunung Kidul,GKD,1976,3.0
Gunung Kidul,GKD,1977,3.0
Gunung Kidul,GKD,1978,3.0435
Gunung Kidul,GKD,1979,3.0435
Gunung Kidul,GKD,1980,3.0435
Gunung Kidul,GKD,1981,3.2
Gunung Kidul,GKD,1982,3.2
Gunung Kidul,GKD,1983,3.0
Gunung Kidul,GKD,1984,3.0
Gunung Kidul,GKD,1985,3.2258
Gunung Kidul,GKD,1986,3.2258
Gunung Kidul,GKD,1987,3.2258
Gunung Kidul,GKD,1988,3.3333
Gunung Kidul,GKD,1989,3.4286
Gunung Kidul,GKD,1990,3.6445
Gunung Kidul,GKD,1991,3.8388
Gunung Kidul,GKD,1992,3.8181
Gunung Kidul,GKD,1993,3.8369
Gunung Kidul,GKD,1994,3.7959
Gunung Kidul,GKD,1995,3.7838
Gunung Kidul,GKD,1996,3.75
Gunung Kidul,GKD,1997,3.6842
Gunung Kidul,GKD,1998,3.75
Gunung Kidul,GKD,1999,3.6667
Gunung Kidul,GKD,2000,3.7143
Gunung Kidul,GKD,2001,3.6873
Gunung Kidul,GKD,2002,3.6748
Gunung Kidul,GKD,2003,3.6511
Gunung Kidul,GKD,2004,3.6216
Gunung Kidul,GKD,2005,3.5861
Gunung Kidul,GKD,2006,3.5448
Gunung Kidul,GKD,2007,3.6842
Gunung Kidul,GKD,2008,3.3841
Gunung Kidul,GKD,2009,3.2541
Gunung Kidul,GKD,2010,3.1209
Gunung Kidul,GKD,2011,2.9876
Gunung Kidul,GKD,2012,2.6829
Gunung Kidul,GKD,2013,2.7419
Gunung Kidul,GKD,2014,2.6688
Gunung Kidul,GKD,2015,2.9981
Gunung Kidul,GKD,2016,2.9444
Gunung Kidul,GKD,2017,2.8882
Gunung Kidul,GKD,2018,2.8296
Gunung Kidul,GKD,2019,2.7685
Gunung Kidul,GKD,2020,2.705
