Entity,Code,Year,crop(tonnes per hectare)
Karawang,KRW,1961,19.6491
Karawang,KRW,1962,20.0
Karawang,KRW,1963,21.1404
Karawang,KRW,1964,21.9298
Karawang,KRW,1965,22.3293
Karawang,KRW,1966,21.1619
Karawang,KRW,1967,21.0111
Karawang,KRW,1968,22.4484
Karawang,KRW,1969,23.0941
Karawang,KRW,1970,24.1333
Karawang,KRW,1971,23.75
Karawang,KRW,1972,23.8095
Karawang,KRW,1973,22.7778
Karawang,KRW,1974,22.1649
Karawang,KRW,1975,23.0
Karawang,KRW,1976,26.1905
Karawang,KRW,1977,27.3585
Karawang,KRW,1978,30.8411
Karawang,KRW,1979,32.5581
Karawang,KRW,1980,32.8704
Karawang,KRW,1981,33.3952
Karawang,KRW,1982,34.2593
Karawang,KRW,1983,34.2276
Karawang,KRW,1984,36.9686
Karawang,KRW,1985,36.5672
Karawang,KRW,1986,36.4964
Karawang,KRW,1987,35.9712
Karawang,KRW,1988,35.8955
Karawang,KRW,1989,36.6284
Karawang,KRW,1990,37.7644
Karawang,KRW,1991,38.5297
Karawang,KRW,1992,37.5277
Karawang,KRW,1993,39.5204
Karawang,KRW,1994,39.6875
Karawang,KRW,1995,41.4286
Karawang,KRW,1996,41.7112
Karawang,KRW,1997,41.7722
Karawang,KRW,1998,41.45
Karawang,KRW,1999,40.7091
Karawang,KRW,2000,39.5111
Karawang,KRW,2001,38.399
Karawang,KRW,2002,37.0588
Karawang,KRW,2003,37.7692
Karawang,KRW,2004,37.0196
Karawang,KRW,2005,37.2222
Karawang,KRW,2006,37.1146
Karawang,KRW,2007,36.9264
Karawang,KRW,2008,36.6179
Karawang,KRW,2009,36.9999
Karawang,KRW,2010,37.2406
Karawang,KRW,2011,37.4945
Karawang,KRW,2012,37.8333
Karawang,KRW,2013,37.9085
Karawang,KRW,2014,37.1346
Karawang,KRW,2015,36.6659
Karawang,KRW,2016,36.3099
Karawang,KRW,2017,35.927
Karawang,KRW,2018,35.5174
Karawang,KRW,2019,35.0809
Karawang,KRW,2020,34.6175
