Entity,Code,Year,crop(tonnes per hectare)
Kulon Progo,KLP,1961,12.0
Kulon Progo,KLP,1962,12.0
Kulon Progo,KLP,1963,12.4
Kulon Progo,KLP,1964,12.8
Kulon Progo,KLP,1965,12.8
Kulon Progo,KLP,1966,12.5
Kulon Progo,KLP,1967,13.2143
Kulon Progo,KLP,1968,12.8571
Kulon Progo,KLP,1969,12.0
Kulon Progo,KLP,1970,12.3333
Kulon Progo,KLP,1971,12.6667
Kulon Progo,KLP,1972,12.6667
Kulon Progo,KLP,1973,13.3333
Kulon Progo,KLP,1974,13.0
Kulon Progo,KLP,1975,13.3333
Kulon Progo,KLP,1976,11.7143
Kulon Progo,KLP,1977,12.0
Kulon Progo,KLP,1978,12.5714
Kulon Progo,KLP,1979,12.0
Kulon Progo,KLP,1980,12.2857
Kulon Progo,KLP,1981,11.8421
Kulon Progo,KLP,1982,12.1053
Kulon Progo,KLP,1983,12.2368
Kulon Progo,KLP,1984,12.3684
Kulon Progo,KLP,1985,12.0513
Kulon Progo,KLP,1986,12.0513
Kulon Progo,KLP,1987,11.95
Kulon Progo,KLP,1988,12.0
Kulon Progo,KLP,1989,14.3902
Kulon Progo,KLP,1990,19.0476
Kulon Progo,KLP,1991,18.2857
Kulon Progo,KLP,1992,20.0
Kulon Progo,KLP,1993,21.6041
Kulon Progo,KLP,1994,22.9449
Kulon Progo,KLP,1995,24.1935
Kulon Progo,KLP,1996,32.1429
Kulon Progo,KLP,1997,29.4118
Kulon Progo,KLP,1998,30.0
Kulon Progo,KLP,1999,30.1887
Kulon Progo,KLP,2000,30.0
Kulon Progo,KLP,2001,26.7023
Kulon Progo,KLP,2002,26.5574
Kulon Progo,KLP,2003,27.4545
Kulon Progo,KLP,2004,26.6667
Kulon Progo,KLP,2005,24.5161
Kulon Progo,KLP,2006,22.3227
Kulon Progo,KLP,2007,24.6154
Kulon Progo,KLP,2008,32.1782
Kulon Progo,KLP,2009,32.0395
Kulon Progo,KLP,2010,32.3459
Kulon Progo,KLP,2011,32.7869
Kulon Progo,KLP,2012,31.5385
Kulon Progo,KLP,2013,36.0223
Kulon Progo,KLP,2014,37.1844
Kulon Progo,KLP,2015,37.9086
Kulon Progo,KLP,2016,38.9778
Kulon Progo,KLP,2017,40.0684
Kulon Progo,KLP,2018,41.1804
Kulon Progo,KLP,2019,42.3137
Kulon Progo,KLP,2020,43.4685
