Entity,Code,Year,crop(tonnes per hectare)
Majalengka,MJK,1961,10.0
Majalengka,MJK,1962,10.0
Majalengka,MJK,1963,10.0
Majalengka,MJK,1964,10.0
Majalengka,MJK,1965,10.0
Majalengka,MJK,1966,10.0
Majalengka,MJK,1967,10.0
Majalengka,MJK,1968,10.0
Majalengka,MJK,1969,11.25
Majalengka,MJK,1970,10.8824
Majalengka,MJK,1971,11.1765
Majalengka,MJK,1972,11.4706
Majalengka,MJK,1973,11.6667
Majalengka,MJK,1974,11.5789
Majalengka,MJK,1975,11.5
Majalengka,MJK,1976,11.1905
Majalengka,MJK,1977,11.1905
Majalengka,MJK,1978,11.1628
Majalengka,MJK,1979,11.1628
Majalengka,MJK,1980,11.1364
Majalengka,MJK,1981,11.1364
Majalengka,MJK,1982,11.1111
Majalengka,MJK,1983,11.087
Majalengka,MJK,1984,11.0638
Majalengka,MJK,1985,11.0417
Majalengka,MJK,1986,11.0204
Majalengka,MJK,1987,11.0
Majalengka,MJK,1988,10.9804
Majalengka,MJK,1989,10.9615
Majalengka,MJK,1990,10.7407
Majalengka,MJK,1991,10.5357
Majalengka,MJK,1992,10.0
Majalengka,MJK,1993,10.4
Majalengka,MJK,1994,10.4167
Majalengka,MJK,1995,10.0
Majalengka,MJK,1996,10.4167
Majalengka,MJK,1997,10.0
Majalengka,MJK,1998,10.0
Majalengka,MJK,1999,10.0
Majalengka,MJK,2000,10.0
Majalengka,MJK,2001,10.0
Majalengka,MJK,2002,9.9138
Majalengka,MJK,2003,9.6296
Majalengka,MJK,2004,9.8014
Majalengka,MJK,2005,9.783
Majalengka,MJK,2006,9.6154
Majalengka,MJK,2007,9.7703
Majalengka,MJK,2008,9.7771
Majalengka,MJK,2009,9.8039
Majalengka,MJK,2010,9.6296
Majalengka,MJK,2011,9.7624
Majalengka,MJK,2012,10.0
Majalengka,MJK,2013,9.8216
Majalengka,MJK,2014,9.7623
Majalengka,MJK,2015,9.0405
Majalengka,MJK,2016,8.9282
Majalengka,MJK,2017,8.8126
Majalengka,MJK,2018,8.6938
Majalengka,MJK,2019,8.5716
Majalengka,MJK,2020,8.4462
