Entity,Code,Year,crop(tonnes per hectare)
Bantul,BTL,1961,16.457
Bantul,BTL,1962,17.5
Bantul,BTL,1963,17.5
Bantul,BTL,1964,13.6449
Bantul,BTL,1965,12.2853
Bantul,BTL,1966,11.1779
Bantul,BTL,1967,9.0958
Bantul,BTL,1968,10.0478
Bantul,BTL,1969,11.1907
Bantul,BTL,1970,9.4496
Bantul,BTL,1971,8.0939
Bantul,BTL,1972,9.2235
Bantul,BTL,1973,9.2235
Bantul,BTL,1974,9.5584
Bantul,BTL,1975,11.3043
Bantul,BTL,1976,8.8617
Bantul,BTL,1977,8.1554
Bantul,BTL,1978,8.0975
Bantul,BTL,1979,8.5632
Bantul,BTL,1980,14.6004
Bantul,BTL,1981,10.5287
Bantul,BTL,1982,8.9047
Bantul,BTL,1983,8.4591
Bantul,BTL,1984,10.0189
Bantul,BTL,1985,10.2515
Bantul,BTL,1986,13.5667
Bantul,BTL,1987,13.0293
Bantul,BTL,1988,12.6639
Bantul,BTL,1989,13.5397
Bantul,BTL,1990,12.5631
Bantul,BTL,1991,14.4635
Bantul,BTL,1992,15.5228
Bantul,BTL,1993,17.1158
Bantul,BTL,1994,16.733
Bantul,BTL,1995,18.3902
Bantul,BTL,1996,17.1109
Bantul,BTL,1997,15.8903
Bantul,BTL,1998,16.2936
Bantul,BTL,1999,17.294
Bantul,BTL,2000,18.6026
Bantul,BTL,2001,20.8519
Bantul,BTL,2002,19.1706
Bantul,BTL,2003,19.3986
Bantul,BTL,2004,23.3696
Bantul,BTL,2005,24.1641
Bantul,BTL,2006,25.6784
Bantul,BTL,2007,28.254
Bantul,BTL,2008,28.4533
Bantul,BTL,2009,30.8352
Bantul,BTL,2010,33.6284
Bantul,BTL,2011,37.5021
Bantul,BTL,2012,36.9958
Bantul,BTL,2013,43.3424
Bantul,BTL,2014,47.0551
Bantul,BTL,2015,44.4126
Bantul,BTL,2016,46.6994
Bantul,BTL,2017,49.0751
Bantul,BTL,2018,51.5411
Bantul,BTL,2019,54.0989
Bantul,BTL,2020,56.7497
