Entity,Code,Year,crop(tonnes per hectare)
Bogor,BGR,1961,14.5798
Bogor,BGR,1962,13.875
Bogor,BGR,1963,13.8704
Bogor,BGR,1964,13.8308
Bogor,BGR,1965,14.3138
Bogor,BGR,1966,13.8777
Bogor,BGR,1967,15.6
Bogor,BGR,1968,14.2755
Bogor,BGR,1969,13.4057
Bogor,BGR,1970,14.6341
Bogor,BGR,1971,14.9169
Bogor,BGR,1972,13.8313
Bogor,BGR,1973,17.5875
Bogor,BGR,1974,16.6914
Bogor,BGR,1975,15.7306
Bogor,BGR,1976,16.8237
Bogor,BGR,1977,15.3101
Bogor,BGR,1978,17.9166
Bogor,BGR,1979,19.695
Bogor,BGR,1980,17.3089
Bogor,BGR,1981,17.4214
Bogor,BGR,1982,18.271
Bogor,BGR,1983,18.3081
Bogor,BGR,1984,19.25
Bogor,BGR,1985,18.1579
Bogor,BGR,1986,19.7403
Bogor,BGR,1987,19.4226
Bogor,BGR,1988,18.25
Bogor,BGR,1989,19.0225
Bogor,BGR,1990,21.0
Bogor,BGR,1991,19.7514
Bogor,BGR,2015,-1.1341
Bogor,BGR,2016,-3.2367
Bogor,BGR,2017,-5.4665
Bogor,BGR,2018,-7.8267
Bogor,BGR,2019,-10.3206
Bogor,BGR,2020,-12.9514
