Entity,Code,Year,crop(tonnes per hectare)
Kuningan,KNG,1975,8.0521
Kuningan,KNG,1976,5.6335
Kuningan,KNG,1977,7.6949
Kuningan,KNG,1978,9.5313
Kuningan,KNG,1979,10.1735
Kuningan,KNG,1980,11.3017
Kuningan,KNG,1981,9.9148
Kuningan,KNG,1982,9.7687
Kuningan,KNG,1983,9.5036
Kuningan,KNG,1984,17.2375
Kuningan,KNG,1985,17.4942
Kuningan,KNG,1986,17.4842
Kuningan,KNG,1987,17.4697
Kuningan,KNG,1988,16.5133
Kuningan,KNG,1989,15.9369
Kuningan,KNG,1990,15.5178
Kuningan,KNG,1991,15.4989
Kuningan,KNG,1992,16.3324
Kuningan,KNG,1993,16.8227
Kuningan,KNG,1994,15.3493
Kuningan,KNG,1995,15.4075
Kuningan,KNG,1996,15.207
Kuningan,KNG,1997,14.8839
Kuningan,KNG,1998,14.9593
Kuningan,KNG,1999,15.0447
Kuningan,KNG,2000,15.1279
Kuningan,KNG,2001,14.7773
Kuningan,KNG,2002,14.4523
Kuningan,KNG,2003,14.2937
Kuningan,KNG,2004,13.4441
Kuningan,KNG,2005,13.5763
Kuningan,KNG,2006,13.564
Kuningan,KNG,2007,13.754
Kuningan,KNG,2008,13.8886
Kuningan,KNG,2009,13.9045
Kuningan,KNG,2010,14.1263
Kuningan,KNG,2011,13.2767
Kuningan,KNG,2012,14.1542
Kuningan,KNG,2013,11.2015
Kuningan,KNG,2014,11.3139
Kuningan,KNG,2015,12.6067
Kuningan,KNG,2016,12.6778
Kuningan,KNG,2017,12.8025
Kuningan,KNG,2018,12.9851
Kuningan,KNG,2019,13.2298
Kuningan,KNG,2020,13.5407
