Entity,Code,Year,Crop
Kulon Progo,KLP,1961,1.4
Kulon Progo,KLP,1962,1.4
Kulon Progo,KLP,1963,1.426
Kulon Progo,KLP,1964,1.4257
Kulon Progo,KLP,1965,1.44
Kulon Progo,KLP,1966,1.44
Kulon Progo,KLP,1967,1.4144
Kulon Progo,KLP,1968,1.7064
Kulon Progo,KLP,1969,1.7177
Kulon Progo,KLP,1970,1.4757
Kulon Progo,KLP,1971,1.34
Kulon Progo,KLP,1972,1.5652
Kulon Progo,KLP,1973,1.617
Kulon Progo,KLP,1974,1.617
Kulon Progo,KLP,1975,1.6116
Kulon Progo,KLP,1976,1.6598
Kulon Progo,KLP,1977,1.5833
Kulon Progo,KLP,1978,1.6183
Kulon Progo,KLP,1979,1.6102
Kulon Progo,KLP,1980,1.6711
Kulon Progo,KLP,1981,1.669
Kulon Progo,KLP,1982,1.6658
Kulon Progo,KLP,1983,1.6641
Kulon Progo,KLP,1984,1.6612
Kulon Progo,KLP,1985,1.6652
Kulon Progo,KLP,1986,1.6875
Kulon Progo,KLP,1987,1.702
Kulon Progo,KLP,1988,1.7034
Kulon Progo,KLP,1989,1.6963
Kulon Progo,KLP,1990,1.7582
Kulon Progo,KLP,1991,1.68
Kulon Progo,KLP,1992,1.5
Kulon Progo,KLP,1993,1.6786
Kulon Progo,KLP,1994,1.6667
Kulon Progo,KLP,1995,1.6563
Kulon Progo,KLP,1996,1.6364
Kulon Progo,KLP,1997,1.5
Kulon Progo,KLP,1998,1.65
Kulon Progo,KLP,1999,1.5
Kulon Progo,KLP,2000,1.1979
Kulon Progo,KLP,2001,2
Kulon Progo,KLP,2002,2.98
Kulon Progo,KLP,2003,0.84
Kulon Progo,KLP,2004,1.6
Kulon Progo,KLP,2005,1.2069
Kulon Progo,KLP,2006,2.6204
Kulon Progo,KLP,2007,2.6277
Kulon Progo,KLP,2008,2.6277
Kulon Progo,KLP,2009,2.1429
Kulon Progo,KLP,2010,1.6448
Kulon Progo,KLP,2011,1.64
Kulon Progo,KLP,2012,2.1986
Kulon Progo,KLP,2013,2.1972
Kulon Progo,KLP,2014,2.4882
Bantul,BTL,1961,0.9541
Bantul,BTL,1962,0.9079
Bantul,BTL,1963,1.1924
Bantul,BTL,1964,1.1634
Bantul,BTL,1965,1.0509
Bantul,BTL,1966,1.5051
Bantul,BTL,1967,1.7241
Bantul,BTL,1968,1.8782
Bantul,BTL,1969,1.9485
Bantul,BTL,1970,2.0718
Bantul,BTL,1971,1.9443
Bantul,BTL,1972,1.9667
Bantul,BTL,1973,2
Bantul,BTL,1974,2.1981
Bantul,BTL,1975,2.7
Bantul,BTL,1976,3.1111
Bantul,BTL,1977,3.7647
Bantul,BTL,1978,3.9535
Bantul,BTL,1979,3.75
Bantul,BTL,1980,2.6504
Bantul,BTL,1981,3.1585
Bantul,BTL,1982,3.7252
Bantul,BTL,1983,4.2263
Bantul,BTL,1984,3.7209
Bantul,BTL,1985,3.5128
Bantul,BTL,1986,4.5065
Bantul,BTL,1987,3.8148
Bantul,BTL,1988,3.2871
Bantul,BTL,1989,4.7969
Bantul,BTL,1990,3.6613
Bantul,BTL,1991,2.9068
Bantul,BTL,1992,2.4876
Bantul,BTL,1993,2.4185
Bantul,BTL,1994,2.5848
Bantul,BTL,1995,3.13
Bantul,BTL,1996,3.2604
Bantul,BTL,1997,3.1862
Bantul,BTL,1998,3.3416
Bantul,BTL,1999,3.7455
Bantul,BTL,2000,3.8811
Bantul,BTL,2001,3.8135
Bantul,BTL,2002,3.946
Bantul,BTL,2003,4.2805
Bantul,BTL,2004,4.6197
Bantul,BTL,2005,4.5442
Bantul,BTL,2006,5.0111
Bantul,BTL,2007,4.6732
Bantul,BTL,2008,5
Bantul,BTL,2009,5.5693
Bantul,BTL,2010,6.679
Bantul,BTL,2011,5.9869
Bantul,BTL,2012,6.729
Bantul,BTL,2013,6.9533
Bantul,BTL,2014,6.9091
Gunung Kidul,GKD,1961,0.9746
Gunung Kidul,GKD,1962,0.54
Gunung Kidul,GKD,1963,1.0716
Gunung Kidul,GKD,1964,1.1703
Gunung Kidul,GKD,1965,1.1
Gunung Kidul,GKD,1966,0.819
Gunung Kidul,GKD,1967,1.0948
Gunung Kidul,GKD,1968,1.1443
Gunung Kidul,GKD,1969,0.9985
Gunung Kidul,GKD,1970,1.0235
Gunung Kidul,GKD,1971,0.8135
Gunung Kidul,GKD,1972,0.8528
Gunung Kidul,GKD,1973,1.1795
Gunung Kidul,GKD,1974,1.3506
Gunung Kidul,GKD,1975,1.8059
Gunung Kidul,GKD,1976,1.2787
Gunung Kidul,GKD,1977,1.2226
Gunung Kidul,GKD,1978,1.0813
Gunung Kidul,GKD,1979,1.1169
Gunung Kidul,GKD,1980,0.966
Gunung Kidul,GKD,1981,1.0031
Gunung Kidul,GKD,1982,0.7836
Gunung Kidul,GKD,1983,0.9333
Gunung Kidul,GKD,1984,1.867
Gunung Kidul,GKD,1985,0.6376
Gunung Kidul,GKD,1986,0.8433
Gunung Kidul,GKD,1987,1.4106
Gunung Kidul,GKD,1988,1
Gunung Kidul,GKD,1989,2.4
Gunung Kidul,GKD,1990,1.65
Gunung Kidul,GKD,1991,1.9231
Gunung Kidul,GKD,1992,2.2828
Gunung Kidul,GKD,1993,1.25
Gunung Kidul,GKD,1994,0.4512
Gunung Kidul,GKD,1995,1.6115
Gunung Kidul,GKD,1996,1.7154
Gunung Kidul,GKD,1997,2.1417
Gunung Kidul,GKD,1998,1.7222
Gunung Kidul,GKD,1999,2.2375
Gunung Kidul,GKD,2000,3.6186
Gunung Kidul,GKD,2001,2.7175
Gunung Kidul,GKD,2002,3.348
Gunung Kidul,GKD,2003,2.8853
Gunung Kidul,GKD,2004,3.1729
Gunung Kidul,GKD,2005,3.3864
Gunung Kidul,GKD,2006,6.5668
Gunung Kidul,GKD,2007,8.5625
Gunung Kidul,GKD,2008,4.4714
Gunung Kidul,GKD,2009,3.4226
Gunung Kidul,GKD,2010,2.5827
Gunung Kidul,GKD,2011,2.3374
Gunung Kidul,GKD,2012,2.5583
Gunung Kidul,GKD,2013,3.3649
Gunung Kidul,GKD,2014,2.6165
Sleman,SLM,1961,0.8113
Sleman,SLM,1962,0.8113
