Entity,Code,Year,Crop
Cianjur,CJR,1961,0.7826
Cianjur,CJR,1962,0.7447
Cianjur,CJR,1963,0.7556
Cianjur,CJR,1964,0.7586
Cianjur,CJR,1965,0.7586
Cianjur,CJR,1966,0.7619
Cianjur,CJR,1967,0.7506
Cianjur,CJR,1968,0.8161
Cianjur,CJR,1969,0.9302
Cianjur,CJR,1970,0.8957
Cianjur,CJR,1971,0.9082
Cianjur,CJR,1972,0.9096
Cianjur,CJR,1973,0.8615
Cianjur,CJR,1974,0.9091
Cianjur,CJR,1975,1.2302
Cianjur,CJR,1976,0.8887
Cianjur,CJR,1977,0.8978
Cianjur,CJR,1978,0.747
Cianjur,CJR,1979,0.7482
Cianjur,CJR,1980,0.8318
Cianjur,CJR,1981,0.9773
Cianjur,CJR,1982,1.0928
Cianjur,CJR,1983,1.0291
Cianjur,CJR,1984,1.8113
Cianjur,CJR,1985,1.6645
Cianjur,CJR,1986,1.9248
Cianjur,CJR,1987,1.9131
Cianjur,CJR,1988,1.9592
Cianjur,CJR,1989,1.864
Cianjur,CJR,1990,1.8543
Cianjur,CJR,1991,1.98
Cianjur,CJR,1992,1.3974
Cianjur,CJR,1993,1.1267
Cianjur,CJR,1994,1.1644
Cianjur,CJR,1995,1.545
Cianjur,CJR,1996,1.875
Cianjur,CJR,1997,2.0267
Cianjur,CJR,1998,1.8911
Cianjur,CJR,1999,2.5907
Cianjur,CJR,2000,2.4615
Cianjur,CJR,2001,2.4404
Cianjur,CJR,2002,2.0679
Cianjur,CJR,2003,1.9908
Cianjur,CJR,2004,1.9166
Cianjur,CJR,2005,2.1334
Cianjur,CJR,2006,2.2224
Cianjur,CJR,2007,2.0
Cianjur,CJR,2008,2.0
Cianjur,CJR,2009,1.9787
Cianjur,CJR,2010,1.9741
Cianjur,CJR,2011,2.024
Cianjur,CJR,2012,1.7152
Cianjur,CJR,2013,1.9787
Cianjur,CJR,2014,2.0019
