Entity,Code,Year,Crop
Garut,GRT,1961,1.0384
Garut,GRT,1962,1.0547
Garut,GRT,1963,1.0592
Garut,GRT,1964,1.0541
Garut,GRT,1965,1.0567
Garut,GRT,1966,1.06
Garut,GRT,1967,1.0772
Garut,GRT,1968,1.0116
Garut,GRT,1969,1.0634
Garut,GRT,1970,1.0346
Garut,GRT,1971,1.0814
Garut,GRT,1972,1.0503
Garut,GRT,1973,0.9518
Garut,GRT,1974,1.1107
Garut,GRT,1975,1.088
Garut,GRT,1976,1.1668
Garut,GRT,1977,1.051
Garut,GRT,1978,0.8892
Garut,GRT,1979,0.9432
Garut,GRT,1980,1.038
Garut,GRT,1981,1.0811
Garut,GRT,1982,1.1046
Garut,GRT,1983,1.0642
Garut,GRT,1984,1.1483
Garut,GRT,1985,1.0
Garut,GRT,1986,0.9646
Garut,GRT,1987,0.9561
Garut,GRT,1988,0.9871
Garut,GRT,1989,0.9415
Garut,GRT,1990,0.9043
Garut,GRT,1991,0.8921
Garut,GRT,1992,0.8605
Garut,GRT,1993,0.8543
Garut,GRT,1994,0.8690000000000001
Garut,GRT,1995,0.9148
Garut,GRT,1996,0.9599
Garut,GRT,1997,0.9919
Garut,GRT,1998,0.9945
Garut,GRT,1999,1.1757
Garut,GRT,2000,1.1945
Garut,GRT,2001,1.2446
Garut,GRT,2002,1.3504
Garut,GRT,2003,1.4395
Garut,GRT,2004,1.4777
Garut,GRT,2005,1.3797
Garut,GRT,2006,1.3351
Garut,GRT,2007,1.3174
Garut,GRT,2008,1.3583
Garut,GRT,2009,1.0665
Garut,GRT,2010,1.0515
Garut,GRT,2011,1.236
Garut,GRT,2012,1.4208
Garut,GRT,2013,1.35
Garut,GRT,2014,1.3185
