Entity,Code,Year,Crop
Kulon Progo,KLP,1961,1.4
Kulon Progo,KLP,1962,1.4
Kulon Progo,KLP,1963,1.426
Kulon Progo,KLP,1964,1.4257
Kulon Progo,KLP,1965,1.44
Kulon Progo,KLP,1966,1.44
Kulon Progo,KLP,1967,1.4144
Kulon Progo,KLP,1968,1.7064
Kulon Progo,KLP,1969,1.7177
Kulon Progo,KLP,1970,1.4757
Kulon Progo,KLP,1971,1.34
Kulon Progo,KLP,1972,1.5652
Kulon Progo,KLP,1973,1.617
Kulon Progo,KLP,1974,1.617
Kulon Progo,KLP,1975,1.6116
Kulon Progo,KLP,1976,1.6598
Kulon Progo,KLP,1977,1.5833
Kulon Progo,KLP,1978,1.6183
Kulon Progo,KLP,1979,1.6102
Kulon Progo,KLP,1980,1.6711
Kulon Progo,KLP,1981,1.669
Kulon Progo,KLP,1982,1.6658
Kulon Progo,KLP,1983,1.6641
Kulon Progo,KLP,1984,1.6612
Kulon Progo,KLP,1985,1.6652
Kulon Progo,KLP,1986,1.6875
Kulon Progo,KLP,1987,1.702
Kulon Progo,KLP,1988,1.7034
Kulon Progo,KLP,1989,1.6963
Kulon Progo,KLP,1990,1.7582
Kulon Progo,KLP,1991,1.68
Kulon Progo,KLP,1992,1.5
Kulon Progo,KLP,1993,1.6786
Kulon Progo,KLP,1994,1.6667
Kulon Progo,KLP,1995,1.6563
Kulon Progo,KLP,1996,1.6364
Kulon Progo,KLP,1997,1.5
Kulon Progo,KLP,1998,1.65
Kulon Progo,KLP,1999,1.5
Kulon Progo,KLP,2000,1.1979
Kulon Progo,KLP,2001,2.0
Kulon Progo,KLP,2002,2.98
Kulon Progo,KLP,2003,0.84
Kulon Progo,KLP,2004,1.6
Kulon Progo,KLP,2005,1.2069
Kulon Progo,KLP,2006,2.6204
Kulon Progo,KLP,2007,2.6277
Kulon Progo,KLP,2008,2.6277
Kulon Progo,KLP,2009,2.1429
Kulon Progo,KLP,2010,1.6448
Kulon Progo,KLP,2011,1.64
Kulon Progo,KLP,2012,2.1986
Kulon Progo,KLP,2013,2.1972
Kulon Progo,KLP,2014,2.4882
