Entity,Code,Year,Crop
Purwakarta,PWK,1961,0.65
Purwakarta,PWK,1962,0.65
Purwakarta,PWK,1963,0.65
Purwakarta,PWK,1964,0.65
Purwakarta,PWK,1965,0.4857
Purwakarta,PWK,1966,0.4872
Purwakarta,PWK,1967,0.4889
Purwakarta,PWK,1968,0.44
Purwakarta,PWK,1969,0.4375
Purwakarta,PWK,1970,0.308
Purwakarta,PWK,1971,0.3033
Purwakarta,PWK,1972,0.1917
Purwakarta,PWK,1973,0.23800000000000002
Purwakarta,PWK,1974,0.3143
Purwakarta,PWK,1975,0.4444
Purwakarta,PWK,1976,0.4545
Purwakarta,PWK,1977,0.375
Purwakarta,PWK,1978,0.3333
Purwakarta,PWK,1979,0.4286
Purwakarta,PWK,1980,0.5313
Purwakarta,PWK,1981,0.4286
Purwakarta,PWK,1982,0.44
Purwakarta,PWK,1983,0.3857
Purwakarta,PWK,1984,0.4936
Purwakarta,PWK,1985,0.4009
Purwakarta,PWK,1986,0.5343
Purwakarta,PWK,1987,0.6072
Purwakarta,PWK,1988,0.4819
Purwakarta,PWK,1989,0.2738
Purwakarta,PWK,1990,0.3346
Purwakarta,PWK,1991,0.2529
Purwakarta,PWK,1992,0.3021
Purwakarta,PWK,1993,0.3591
Purwakarta,PWK,1994,0.2503
Purwakarta,PWK,1995,0.2629
Purwakarta,PWK,1996,0.3172
Purwakarta,PWK,1997,0.1469
Purwakarta,PWK,1998,0.1415
Purwakarta,PWK,1999,1.162
Purwakarta,PWK,2000,0.7948
Purwakarta,PWK,2001,0.6373
Purwakarta,PWK,2002,0.1485
Purwakarta,PWK,2003,0.3792
Purwakarta,PWK,2004,0.3852
Purwakarta,PWK,2005,0.2432
Purwakarta,PWK,2006,0.1407
Purwakarta,PWK,2007,0.1101
Purwakarta,PWK,2008,0.3369
Purwakarta,PWK,2009,0.2308
Purwakarta,PWK,2010,0.22
Purwakarta,PWK,2011,0.1778
Purwakarta,PWK,2012,0.1962
Purwakarta,PWK,2013,0.1823
Purwakarta,PWK,2014,0.2018
