Entity,Code,Year,Crop
Sleman,SLM,1961,0.8113
Sleman,SLM,1962,0.8113
Sleman,SLM,1963,0.7692
Sleman,SLM,1964,0.8654
Sleman,SLM,1965,0.9375
Sleman,SLM,1966,0.7917
Sleman,SLM,1967,0.76
Sleman,SLM,1968,0.7827
Sleman,SLM,1969,0.9
Sleman,SLM,1970,0.912
Sleman,SLM,1971,0.7776
Sleman,SLM,1972,0.7547
Sleman,SLM,1973,0.7288
Sleman,SLM,1974,0.6667
Sleman,SLM,1975,0.75
Sleman,SLM,1976,0.75
Sleman,SLM,1977,0.5833
Sleman,SLM,1978,0.6667
Sleman,SLM,1979,0.5
Sleman,SLM,1980,0.6
Sleman,SLM,1981,0.4167
Sleman,SLM,1982,0.4167
Sleman,SLM,1983,0.4583
Sleman,SLM,1984,0.4333
Sleman,SLM,1985,0.4167
Sleman,SLM,1986,0.35
Sleman,SLM,1987,0.3529
Sleman,SLM,1988,0.3
Sleman,SLM,1989,0.2358
Sleman,SLM,1990,0.2736
Sleman,SLM,1991,0.4013
Sleman,SLM,1992,0.3778
Sleman,SLM,1993,0.2627
Sleman,SLM,1994,0.2463
Sleman,SLM,1995,0.3517
Sleman,SLM,1996,0.6993
Sleman,SLM,1997,0.5959
Sleman,SLM,1998,0.7396
Sleman,SLM,1999,0.6361
Sleman,SLM,2000,0.5745
Sleman,SLM,2001,0.5754
Sleman,SLM,2002,0.6706
Sleman,SLM,2003,0.7559
Sleman,SLM,2004,0.5404
Sleman,SLM,2005,0.6736
Sleman,SLM,2006,0.4687
Sleman,SLM,2007,0.5091
Sleman,SLM,2008,0.7946
Sleman,SLM,2009,0.6614
Sleman,SLM,2010,0.72
Sleman,SLM,2011,0.7376
Sleman,SLM,2012,0.777
Sleman,SLM,2013,0.9467
Sleman,SLM,2014,1.0386
