Entity,Code,Year,Crop
Sukabumi,SKB,1961,2.2448
Sukabumi,SKB,1962,2.3903
Sukabumi,SKB,1963,2.6244
Sukabumi,SKB,1964,3.1264
Sukabumi,SKB,1965,2.2315
Sukabumi,SKB,1966,3.8431
Sukabumi,SKB,1967,3.4737
Sukabumi,SKB,1968,3.1736
Sukabumi,SKB,1969,4.1809
Sukabumi,SKB,1970,3.7387
Sukabumi,SKB,1971,3.8454
Sukabumi,SKB,1972,4.3176
Sukabumi,SKB,1973,4.1146
Sukabumi,SKB,1974,3.1078
Sukabumi,SKB,1975,4.3286
Sukabumi,SKB,1976,4.1459
Sukabumi,SKB,1977,3.5802
Sukabumi,SKB,1978,3.7215
Sukabumi,SKB,1979,4.8403
Sukabumi,SKB,1980,3.8586
Sukabumi,SKB,1981,4.2616
Sukabumi,SKB,1982,5.5047
Sukabumi,SKB,1983,5.2291
Sukabumi,SKB,1984,5.5288
Sukabumi,SKB,1985,3.1027
Sukabumi,SKB,1986,4.9599
Sukabumi,SKB,1987,3.737
Sukabumi,SKB,1988,3.1802
Sukabumi,SKB,1989,4.0221
Sukabumi,SKB,1990,2.8771
Sukabumi,SKB,1991,4.9551
Sukabumi,SKB,1992,2.8128
Sukabumi,SKB,1993,1.8609
Sukabumi,SKB,1994,2.8056
Sukabumi,SKB,1995,3.8237
Sukabumi,SKB,1996,2.181
Sukabumi,SKB,1997,3.5782
Sukabumi,SKB,1998,2.6827
Sukabumi,SKB,1999,3.8239
Sukabumi,SKB,2000,1.7239
Sukabumi,SKB,2001,2.4713
Sukabumi,SKB,2002,4.2364
Sukabumi,SKB,2003,2.8
Sukabumi,SKB,2004,5.54
Sukabumi,SKB,2005,5.3085
Sukabumi,SKB,2006,4.5328
Sukabumi,SKB,2007,1.4595
Sukabumi,SKB,2008,4.1548
Sukabumi,SKB,2009,4.7071
Sukabumi,SKB,2010,6.2516
Sukabumi,SKB,2011,5.5313
Sukabumi,SKB,2012,3.68
Sukabumi,SKB,2013,6.3943
Sukabumi,SKB,2014,7.6823
