Entity,Code,Year,crop(tonnes per hectare)
Kulon Progo,KLP,1961,12.0
Kulon Progo,KLP,1962,12.0
Kulon Progo,KLP,1963,12.4
Kulon Progo,KLP,1964,12.8
Kulon Progo,KLP,1965,12.8
Kulon Progo,KLP,1966,12.5
Kulon Progo,KLP,1967,13.2143
Kulon Progo,KLP,1968,12.8571
Kulon Progo,KLP,1969,12.0
Kulon Progo,KLP,1970,12.3333
Kulon Progo,KLP,1971,12.6667
Kulon Progo,KLP,1972,12.6667
Kulon Progo,KLP,1973,13.3333
Kulon Progo,KLP,1974,13.0
Kulon Progo,KLP,1975,13.3333
Kulon Progo,KLP,1976,11.7143
Kulon Progo,KLP,1977,12.0
Kulon Progo,KLP,1978,12.5714
Kulon Progo,KLP,1979,12.0
Kulon Progo,KLP,1980,12.2857
Kulon Progo,KLP,1981,11.8421
Kulon Progo,KLP,1982,12.1053
Kulon Progo,KLP,1983,12.2368
Kulon Progo,KLP,1984,12.3684
Kulon Progo,KLP,1985,12.0513
Kulon Progo,KLP,1986,12.0513
Kulon Progo,KLP,1987,11.95
Kulon Progo,KLP,1988,12.0
Kulon Progo,KLP,1989,14.3902
Kulon Progo,KLP,1990,19.0476
Kulon Progo,KLP,1991,18.2857
Kulon Progo,KLP,1992,20.0
Kulon Progo,KLP,1993,21.6041
Kulon Progo,KLP,1994,22.9449
Kulon Progo,KLP,1995,24.1935
Kulon Progo,KLP,1996,32.1429
Kulon Progo,KLP,1997,29.4118
Kulon Progo,KLP,1998,30.0
Kulon Progo,KLP,1999,30.1887
Kulon Progo,KLP,2000,30.0
Kulon Progo,KLP,2001,26.7023
Kulon Progo,KLP,2002,26.5574
Kulon Progo,KLP,2003,27.4545
Kulon Progo,KLP,2004,26.6667
Kulon Progo,KLP,2005,24.5161
Kulon Progo,KLP,2006,22.3227
Kulon Progo,KLP,2007,24.6154
Kulon Progo,KLP,2008,32.1782
Kulon Progo,KLP,2009,32.0395
Kulon Progo,KLP,2010,32.3459
Kulon Progo,KLP,2011,32.7869
Kulon Progo,KLP,2012,31.5385
Kulon Progo,KLP,2013,36.0223
Kulon Progo,KLP,2014,37.1844
Kulon Progo,KLP,2015,37.9086
Kulon Progo,KLP,2016,38.9778
Kulon Progo,KLP,2017,40.0684
Kulon Progo,KLP,2018,41.1804
Kulon Progo,KLP,2019,42.3137
Kulon Progo,KLP,2020,43.4685
Garut,GRT,1961,8.1756
Garut,GRT,1962,8.2707
Garut,GRT,1963,8.425
Garut,GRT,1964,8.2226
Garut,GRT,1965,7.9025
Garut,GRT,1966,7.9413
Garut,GRT,1967,7.6942
Garut,GRT,1968,7.657999999999999
Garut,GRT,1969,7.8260000000000005
Garut,GRT,1970,7.4485
Garut,GRT,1971,7.3966
Garut,GRT,1972,6.7992
Garut,GRT,1973,6.7142
Garut,GRT,1974,6.8831
Garut,GRT,1975,7.2822
Garut,GRT,1976,7.1378
Garut,GRT,1977,8.174
Garut,GRT,1978,7.1675
Garut,GRT,1979,7.2405
Garut,GRT,1980,7.4731
Garut,GRT,1981,7.8023
Garut,GRT,1982,8.1038
Garut,GRT,1983,8.004
Garut,GRT,1984,8.088
Garut,GRT,1985,8.4893
Garut,GRT,1986,8.547
Garut,GRT,1987,8.0891
Garut,GRT,1988,8.6154
Garut,GRT,1989,8.7309
Garut,GRT,1990,9.2668
Garut,GRT,1991,9.0974
Garut,GRT,1992,9.1204
Garut,GRT,1993,8.7549
Garut,GRT,1994,8.3718
Garut,GRT,1995,9.1266
Garut,GRT,1996,9.289
Garut,GRT,1997,8.2017
Garut,GRT,1998,7.6242
Garut,GRT,1999,8.1719
Garut,GRT,2000,6.4046
Garut,GRT,2001,6.1881
Garut,GRT,2002,6.1699
Garut,GRT,2003,6.5712
Garut,GRT,2004,7.6054
Garut,GRT,2005,8.1782
Garut,GRT,2006,8.4377
Garut,GRT,2007,7.6707
Garut,GRT,2008,6.9823
Garut,GRT,2009,7.077000000000001
Garut,GRT,2010,7.1011
Garut,GRT,2011,6.2489
Garut,GRT,2012,5.3635
