Entity,Code,Year,Crop
Bekasi,BKS,1961,14.5798
Bekasi,BKS,1962,13.875
Bekasi,BKS,1963,13.8704
Bekasi,BKS,1964,13.8308
Bekasi,BKS,1965,14.3138
Bekasi,BKS,1966,13.8777
Bekasi,BKS,1967,15.6
Bekasi,BKS,1968,14.2755
Bekasi,BKS,1969,13.4057
Bekasi,BKS,1970,14.6341
Bekasi,BKS,1971,14.9169
Bekasi,BKS,1972,13.8313
Bekasi,BKS,1973,17.5875
Bekasi,BKS,1974,16.6914
Bekasi,BKS,1975,15.7306
Bekasi,BKS,1976,16.8237
Bekasi,BKS,1977,15.3101
Bekasi,BKS,1978,17.9166
Bekasi,BKS,1979,19.695
Bekasi,BKS,1980,17.3089
Bekasi,BKS,1981,17.4214
Bekasi,BKS,1982,18.271
Bekasi,BKS,1983,18.3081
Bekasi,BKS,1984,19.25
Bekasi,BKS,1985,18.1579
Bekasi,BKS,1986,19.7403
Bekasi,BKS,1987,19.4226
Bekasi,BKS,1988,18.25
Bekasi,BKS,1989,19.0225
Bekasi,BKS,1990,21.0
Bekasi,BKS,1991,19.7514
Bekasi,BKS,1992,14.0
Bekasi,BKS,1993,24.0
Bekasi,BKS,1994,21.0
Bekasi,BKS,1995,16.3
Bekasi,BKS,1996,15.875
Bekasi,BKS,1997,18.2
Bekasi,BKS,1998,19.0571
Bekasi,BKS,1999,27.8
Bekasi,BKS,2000,31.4545
Bekasi,BKS,2001,25.8621
Bekasi,BKS,2002,33.0882
Bekasi,BKS,2003,35.2857
Bekasi,BKS,2004,36.7647
Bekasi,BKS,2005,34.6875
Bekasi,BKS,2006,34.8148
Bekasi,BKS,2007,36.4368
Bekasi,BKS,2008,34.0659
Bekasi,BKS,2009,36.3333
Bekasi,BKS,2010,37.2526
Bekasi,BKS,2011,38.3665
Bekasi,BKS,2012,38.1764
Bekasi,BKS,2013,38.7188
Bekasi,BKS,2014,39.2613
