Entity,Code,Year,Crop
Indramayu,IDY,1961,5.0
Indramayu,IDY,1962,5.0
Indramayu,IDY,1963,5.0
Indramayu,IDY,1964,5.0
Indramayu,IDY,1965,5.0
Indramayu,IDY,1966,5.0
Indramayu,IDY,1967,7.9808
Indramayu,IDY,1968,9.9338
Indramayu,IDY,1969,8.2988
Indramayu,IDY,1970,8.4034
Indramayu,IDY,1971,9.65
Indramayu,IDY,1972,6.0257
Indramayu,IDY,1973,10.0175
Indramayu,IDY,1974,20.0148
Indramayu,IDY,1975,23.0392
Indramayu,IDY,1976,24.0741
Indramayu,IDY,1977,25.8247
Indramayu,IDY,1978,34.0539
Indramayu,IDY,1979,39.2024
Indramayu,IDY,1980,45.8452
Indramayu,IDY,1981,38.7245
Indramayu,IDY,1982,40.2899
Indramayu,IDY,1983,32.2187
Indramayu,IDY,1984,39.367
Indramayu,IDY,1985,42.7752
Indramayu,IDY,1986,33.1707
Indramayu,IDY,1987,24.2887
Indramayu,IDY,1988,25.6079
Indramayu,IDY,1989,41.4578
Indramayu,IDY,1990,32.5208
Indramayu,IDY,1991,47.1616
Indramayu,IDY,1992,41.2956
Indramayu,IDY,1993,49.5218
Indramayu,IDY,1994,58.7637
Indramayu,IDY,1995,75.0807
Indramayu,IDY,1996,70.7993
Indramayu,IDY,1997,84.0033
Indramayu,IDY,1998,69.4679
Indramayu,IDY,1999,76.5034
Indramayu,IDY,2000,93.5872
Indramayu,IDY,2001,108.8297
Indramayu,IDY,2002,103.4633
Indramayu,IDY,2003,75.9875
Indramayu,IDY,2004,104.3478
Indramayu,IDY,2005,88.69200000000001
Indramayu,IDY,2006,68.5303
Indramayu,IDY,2007,70.0297
Indramayu,IDY,2008,72.6368
Indramayu,IDY,2009,57.5868
Indramayu,IDY,2010,40.0431
Indramayu,IDY,2011,43.4256
Indramayu,IDY,2012,47.8032
Indramayu,IDY,2013,37.3928
Indramayu,IDY,2014,33.1665
